node,degree,weighted_degree
Adidas,9.0,5.99
Brazil team_attack_unit,1.0,5.968
Chile team_attack_unit,1.0,5.948
match_223,4.0,5.938
Italy team_defense_unit,1.0,5.844
United Arab Emirates,4.0,5.816
team:Norway,16.0,5.802
Costa Rica team_defense_unit,1.0,5.717
Iceland,4.0,5.656
Peru team_midfield_unit,1.0,5.654
Iraq,4.0,5.612
Serbia team_attack_unit,1.0,5.55
Hisense,8.0,5.54
England team_attack_unit,1.0,5.528
Qatar Airways,8.0,5.484
match_13,4.0,5.463
Ecuador team_midfield_unit,1.0,5.457
Honduras,4.0,5.451
Hyundai,8.0,5.429
Bolivia,4.0,5.425
match_7,4.0,5.416
Vivo,8.0,5.404
Serbia team_defense_unit,1.0,5.37
McDonald's,8.0,5.352
Turkey team_attack_unit,1.0,5.336
Budweiser,8.0,5.32
Denmark team_midfield_unit,1.0,5.311
Mengniu,8.0,5.265
Visa,8.0,5.217
Hungary team_attack_unit,1.0,5.188
Algeria team_attack_unit,1.0,5.136
Japan team_attack_unit,1.0,5.111
Switzerland team_defense_unit,1.0,5.107
Poland team_attack_unit,1.0,5.047
Turkey team_midfield_unit,1.0,4.996
Cameroon team_defense_unit,1.0,4.934
Scotland team_midfield_unit,1.0,4.918
Germany team_defense_unit,1.0,4.916
Republic of Ireland team_midfield_unit,1.0,4.881
Belgium team_defense_unit,1.0,4.857
Senegal team_attack_unit,1.0,4.844
Poland team_defense_unit,1.0,4.839
Bulgaria team_attack_unit,1.0,4.767
Trinidad and Tobago,4.0,4.761
German DR team_defense_unit,1.0,4.731
Israel,4.0,4.644
Russia team_attack_unit,1.0,4.642
Croatia team_attack_unit,1.0,4.606
South Korea team_defense_unit,1.0,4.601
Argentina team_midfield_unit,1.0,4.566
Saudi Arabia team_defense_unit,1.0,4.558
Chile team_defense_unit,1.0,4.545
Russia team_midfield_unit,1.0,4.531
Netherlands team_midfield_unit,1.0,4.528
Croatia team_defense_unit,1.0,4.491
United States team_defense_unit,1.0,4.483
Czechoslovakia team_midfield_unit,1.0,4.482
Northern Ireland team_attack_unit,1.0,4.435
Spain team_midfield_unit,1.0,4.415
Sweden team_defense_unit,1.0,4.411
Portugal team_defense_unit,1.0,4.343
Kuwait,4.0,4.332
Netherlands team_defense_unit,1.0,4.308
Qatar,4.0,4.235
Turkey team_defense_unit,1.0,4.185
Sweden team_midfield_unit,1.0,4.181
Yugoslavia team_midfield_unit,1.0,4.177
Angola,4.0,4.175
South Korea team_midfield_unit,1.0,4.174
Tunisia team_attack_unit,1.0,4.143
team:New Zealand,12.0,4.126
Panama,4.0,4.096
Scotland team_defense_unit,1.0,4.052
Colombia team_defense_unit,1.0,4.022
Peru team_defense_unit,1.0,4.013
team:Bolivia,12.0,3.914
Uruguay team_midfield_unit,1.0,3.892
Indonesia,4.0,3.85
team:Slovenia,12.0,3.848
Denmark team_attack_unit,1.0,3.835
Mexico team_defense_unit,1.0,3.831
South Africa team_midfield_unit,1.0,3.823
Tunisia team_defense_unit,1.0,3.819
team:Ukraine,10.0,3.745
Austria team_midfield_unit,1.0,3.725
Argentina team_attack_unit,1.0,3.708
Greece team_attack_unit,1.0,3.706
Iran team_midfield_unit,1.0,3.688
Ecuador team_defense_unit,1.0,3.686
Norway team_midfield_unit,1.0,3.673
Republic of Ireland team_defense_unit,1.0,3.668
Portugal team_midfield_unit,1.0,3.647
Chile team_midfield_unit,1.0,3.636
Romania team_midfield_unit,1.0,3.584
Czechoslovakia team_defense_unit,1.0,3.566
team:Jamaica,6.0,3.552
Russia team_defense_unit,1.0,3.507
Paraguay team_defense_unit,1.0,3.485
Czech Republic team_attack_unit,1.0,3.455
Sweden team_attack_unit,1.0,3.434
Slovakia team_attack_unit,1.0,3.431
German DR team_midfield_unit,1.0,3.423
team:Iceland,6.0,3.412
Iran team_defense_unit,1.0,3.366
Mexico team_attack_unit,1.0,3.356
Wales team_defense_unit,1.0,3.322
Algeria team_defense_unit,1.0,3.307
Norway team_attack_unit,1.0,3.298
United States team_midfield_unit,1.0,3.295
Bosnia and Herzegovina team_midfield_unit,1.0,3.278
Ecuador team_attack_unit,1.0,3.259
Ghana team_midfield_unit,1.0,3.258
South Africa team_defense_unit,1.0,3.258
Spain team_defense_unit,1.0,3.256
Slovenia team_defense_unit,1.0,3.247
Peru team_attack_unit,1.0,3.247
Jamaica team_defense_unit,1.0,3.226
Saudi Arabia team_midfield_unit,1.0,3.209
team:Iraq,6.0,3.18
Czechoslovakia team_attack_unit,1.0,3.165
Canada team_midfield_unit,1.0,3.156
Slovenia team_attack_unit,1.0,3.153
Germany team_attack_unit,1.0,3.08
Nigeria team_attack_unit,1.0,3.065
Jamaica team_midfield_unit,1.0,3.025
Netherlands team_attack_unit,1.0,3.024
team:DR Congo,6.0,3.023
team:United Arab Emirates,6.0,3.022
Yugoslavia team_defense_unit,1.0,3.01
United States team_attack_unit,1.0,3.01
team:Czech Republic,6.0,2.992
South Africa team_attack_unit,1.0,2.989
Ukraine team_midfield_unit,1.0,2.925
team:Haiti,6.0,2.92
Egypt team_defense_unit,1.0,2.866
New Zealand team_defense_unit,1.0,2.84
Togo team_defense_unit,1.0,2.816
Ghana team_attack_unit,1.0,2.798
England team_defense_unit,1.0,2.794
Canada team_attack_unit,1.0,2.794
Bosnia and Herzegovina team_attack_unit,1.0,2.793
North Korea team_midfield_unit,1.0,2.791
Poland team_midfield_unit,1.0,2.79
China PR team_defense_unit,1.0,2.742
Ivory Coast team_midfield_unit,1.0,2.728
Costa Rica team_midfield_unit,1.0,2.724
Hungary team_midfield_unit,1.0,2.704
Cameroon team_attack_unit,1.0,2.639
team:Slovakia,8.0,2.627
France team_attack_unit,1.0,2.626
Northern Ireland team_defense_unit,1.0,2.622
Iran team_attack_unit,1.0,2.595
Honduras team_attack_unit,1.0,2.59
North Korea team_attack_unit,1.0,2.581
Czech Republic team_defense_unit,1.0,2.567
Australia team_midfield_unit,1.0,2.56
Italy team_midfield_unit,1.0,2.535
Romania team_defense_unit,1.0,2.51
Portugal team_attack_unit,1.0,2.509
Bolivia team_midfield_unit,1.0,2.492
Haiti team_midfield_unit,1.0,2.491
Italy team_attack_unit,1.0,2.46
Morocco team_attack_unit,1.0,2.426
team:Kuwait,6.0,2.425
Greece team_defense_unit,1.0,2.423
Serbia team_midfield_unit,1.0,2.366
team:Israel,6.0,2.352
DR Congo team_attack_unit,1.0,2.345
German DR team_attack_unit,1.0,2.342
DR Congo team_midfield_unit,1.0,2.333
South Korea team_attack_unit,1.0,2.319
Panama team_midfield_unit,1.0,2.311
United Arab Emirates team_defense_unit,1.0,2.294
Algeria team_midfield_unit,1.0,2.292
New Zealand team_midfield_unit,1.0,2.287
El Salvador team_defense_unit,1.0,2.283
Australia team_defense_unit,1.0,2.276
Cuba team_attack_unit,1.0,2.274
China PR team_midfield_unit,1.0,2.26
team:Bosnia and Herzegovina,6.0,2.253
Nigeria team_defense_unit,1.0,2.25
team:China PR,6.0,2.222
Nigeria team_midfield_unit,1.0,2.221
team:Qatar,6.0,2.218
Morocco team_midfield_unit,1.0,2.217
Bulgaria team_defense_unit,1.0,2.2
United Arab Emirates team_attack_unit,1.0,2.175
Iceland team_attack_unit,1.0,2.154
Japan team_midfield_unit,1.0,2.151
Egypt team_midfield_unit,1.0,2.149
El Salvador team_attack_unit,1.0,2.125
Tunisia team_midfield_unit,1.0,2.119
China PR team_attack_unit,1.0,2.102
Haiti team_attack_unit,1.0,2.085
Switzerland team_midfield_unit,1.0,2.078
Iraq team_midfield_unit,1.0,2.073
Kuwait team_attack_unit,1.0,2.065
Japan team_defense_unit,1.0,2.06
team:Panama,6.0,2.042
Cuba team_midfield_unit,1.0,2.035
Paraguay team_midfield_unit,1.0,2.03
Ivory Coast team_defense_unit,1.0,2.023
Angola team_midfield_unit,1.0,2.015
New Zealand team_attack_unit,1.0,2.011
Northern Ireland team_midfield_unit,1.0,2.011
Iceland team_defense_unit,1.0,1.993
team:Togo,6.0,1.992
Slovakia team_midfield_unit,1.0,1.95
Cameroon team_midfield_unit,1.0,1.934
Colombia team_midfield_unit,1.0,1.922
team:Trinidad and Tobago,6.0,1.916
Israel team_attack_unit,1.0,1.891
Austria team_defense_unit,1.0,1.861
Australia team_attack_unit,1.0,1.843
Yugoslavia team_attack_unit,1.0,1.841
Ghana team_defense_unit,1.0,1.836
team:Cuba,6.0,1.833
Wales team_midfield_unit,1.0,1.813
Romania team_attack_unit,1.0,1.813
Cuba team_defense_unit,1.0,1.811
Wales team_attack_unit,1.0,1.809
Senegal team_midfield_unit,1.0,1.758
Togo team_midfield_unit,1.0,1.738
Saudi Arabia team_attack_unit,1.0,1.736
Qatar team_defense_unit,1.0,1.73
Iraq team_attack_unit,1.0,1.727
team:Angola,6.0,1.707
Trinidad and Tobago team_midfield_unit,1.0,1.693
Senegal team_defense_unit,1.0,1.667
Ukraine team_attack_unit,1.0,1.618
Bolivia team_defense_unit,1.0,1.567
Ivory Coast team_attack_unit,1.0,1.549
Colombia team_attack_unit,1.0,1.546
Trinidad and Tobago team_attack_unit,1.0,1.54
Canada team_defense_unit,1.0,1.536
Slovenia team_midfield_unit,1.0,1.51
Haiti team_defense_unit,1.0,1.495
Brazil team_defense_unit,1.0,1.494
Togo team_attack_unit,1.0,1.47
Jamaica team_attack_unit,1.0,1.459
Honduras team_midfield_unit,1.0,1.432
El Salvador team_midfield_unit,1.0,1.425
Republic of Ireland team_attack_unit,1.0,1.269
Bosnia and Herzegovina team_defense_unit,1.0,1.267
Ukraine team_defense_unit,1.0,1.253
Israel team_midfield_unit,1.0,1.251
Iraq team_defense_unit,1.0,1.216
Indonesia team_attack_unit,1.0,1.207
Norway team_defense_unit,1.0,1.192
Indonesia team_defense_unit,1.0,1.185
Greece team_midfield_unit,1.0,1.125
Slovakia team_defense_unit,1.0,1.082
Qatar team_midfield_unit,1.0,1.077
Czech Republic team_midfield_unit,1.0,1.066
Trinidad and Tobago team_defense_unit,1.0,0.997
Israel team_defense_unit,1.0,0.978
Iceland team_midfield_unit,1.0,0.926
Angola team_attack_unit,1.0,0.919
Kuwait team_defense_unit,1.0,0.905
Honduras team_defense_unit,1.0,0.891
Indonesia team_midfield_unit,1.0,0.889
DR Congo team_defense_unit,1.0,0.863
Egypt team_attack_unit,1.0,0.859
Panama team_defense_unit,1.0,0.858
Bulgaria team_midfield_unit,1.0,0.848
team:Indonesia,2.0,0.836
Qatar team_attack_unit,1.0,0.809
North Korea team_defense_unit,1.0,0.795
United Arab Emirates team_midfield_unit,1.0,0.793
Bolivia team_attack_unit,1.0,0.791
Kuwait team_midfield_unit,1.0,0.734
Angola team_defense_unit,1.0,0.703
Panama team_attack_unit,1.0,0.318
